BookData_needsupdating,"Type (1cancer, 2mental, 3addiction, 4infectious, 5contested)_needsupdating",Disambiguate,Capitalization_Sensitive,Round,Acronym_periods,StigmaWord_PulledOut_needsupdating,Reconciled_Name,Name2,DisambiguatedSynset_Keep,PlottingGroup,Plot,Exclude_disease_from_cleaning_(result_from_folding),Replaced_in_wvmodels_by_weighted_average,Plot_before_folding_in_certain_adj_forms,DiseaseorExtra,Notes,MoreNotes
,,,,,,,epilepsy_folded,,,neurological,Yes,Yes,,,Disease,"this word-vector was added in after training the word embedding on cleaned data (and is the result of the weighted average of the word vectors for epilepsy and epileptic), there is no entry for the variabel ""Round"" here so this row is ignored when reconciling/disambiguating the raw text data",
,,,,,,,drug_addiction_folded,,,addictions,Yes,Yes,,,Disease,"this word-vector was added in after training the word embedding on cleaned data (and is the result of the weighted average of the word vectors for drug addiction and drug addict);  there is no entry for the variabel ""Round"" here so this row is ignored when reconciling/disambiguating the raw text data",
,,,,,,,obesity_folded,,,behavioral,Yes,Yes,,,Disease,"this word-vector was added in after training the word embedding on cleaned data (and is the result of the weighted average of the word vectors for obesity and obese);  there is no entry for the variabel ""Round"" here so this row is ignored when reconciling/disambiguating the raw text data",
1,2,,,1,,,ADHD,ADHD-ADD,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,ADHD/ADD,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,ADD-ADHD,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,1,,ADHD,A.D.D.-A.D.H.D.,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,1,,ADHD,A.D.D./A.D.H.D.,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,1,,ADHD,A.D.D._A.D.H.D.,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,ADD/ADHD,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,attenton deficit disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,hyperkinetic disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,disturbance of activity and attention,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,hyperkinetic impulse disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,hyperkinetic reaction of childhood,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,1,,,ADHD,hyperkinesis,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,,,ADHD,attention deficit hyperactivity disorder,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,1,,ADHD,A.D.H.D.,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,,2,1,,ADHD,A.D.D.,,neurodevelopmental,Yes,,,Yes,Disease,,
1,2,,1,2,,,ADHD,ADD,Synset('attention_deficit_disorder.n.01'),neurodevelopmental,Yes,,,Yes,Disease,"""add"" is capitalization sensitive and/or needs to be disambiguated. Decided to just use capitalization",
1,2,,,1,,,ADHD,attention deficit hyperactivity,,neurodevelopmental,Yes,,,Yes,Disease,,
0,3,,,1,,,Alcoholism,alcohol abuse,,addictions,Yes,,,Yes,Disease,,
0,3,,,1,,,Alcoholism,alcohol dependence,,addictions,Yes,,,Yes,Disease,,
0,3,,,1,,,Alcoholism,alcohol addiction,,addictions,Yes,,,Yes,Disease,,
0,3,,,1,,,Alcoholism,alcohol addictions,,addictions,Yes,,,Yes,Disease,,
0,3,,,1,,,Alcoholism,alcohol use disorder,,addictions,Yes,,,Yes,Disease,,
0,3,1,,6,,1,Alcoholism,alcoholic,"Synset('alcoholic.n.01'), Synset('alcoholic.s.02')",addictions,Yes,,,Yes,Disease,"Alcoholic as noun (not adjective). Not doing plural to avoid alcoholics anonymous.  Do after non alcoholic, and  after Alcoholic liver disease",
1,,,,1,,,Alpha_One,Alpha-1,,genetic,Yes,,,Yes,Disease,,
1,,,,1,,,Alpha_One,antitrypsin deficiency,,genetic,Yes,,,Yes,Disease,,
1,,,1,1,1,,ALS,A.L.S.,,neurological,Yes,,,Yes,Disease,,
1,,,,1,,,ALS,Amyotrophic lateral sclerosis,,neurological,Yes,,,Yes,Disease,,
1,,,,1,,,ALS,Lou Gehrig's Disease,,neurological,Yes,,,Yes,Disease,,
1,,,,1,,,ALS,motor neuron disease,,neurological,Yes,,,Yes,Disease,,
1,,,,1,,,ALS,motor neurone disease,,neurological,Yes,,,Yes,Disease,,
1,,,,1,,,Alzheimer,Alzheimer's disease,,neurological,Yes,,,Yes,Disease,before alzheimer's,
1,,,,1,,,Alzheimer,Alzheimers disease,,neurological,Yes,,,Yes,Disease,,
1,,,,2,,,Alzheimer,Alzheimers,,neurological,Yes,,,Yes,Disease,,
1,,,,2,,,Alzheimer,Alzheimer's,,neurological,Yes,,,Yes,Disease,,
0,2,,,1,,,Anorexia,anorexia nervosa,,eating disorders,Yes,,,Yes,Disease,,
0,2,,,2,,1,Anorexia,anorexic,,eating disorders,Yes,,,Yes,Disease,,
