Term,Source,Source_Subset,Domain,Concept_Term_Represents,Dimension_or_Cluster,WhichPole,Notes,Removed
aseptic,theasurus.com,,,sanitation,Dimension,clean,,
clean,theasurus.com,,,sanitation,Dimension,clean,,
cleaning,theasurus.com,,,sanitation,Dimension,clean,,
cleanly,theasurus.com,,,sanitation,Dimension,clean,,
cleanse,theasurus.com,,,sanitation,Dimension,clean,,
cleansed,theasurus.com,,,sanitation,Dimension,clean,,
cleansing,theasurus.com,,,sanitation,Dimension,clean,,
disinfect,theasurus.com,,,sanitation,Dimension,clean,,
disinfected,theasurus.com,,,sanitation,Dimension,clean,,
disinfecting,theasurus.com,,,sanitation,Dimension,clean,,
germ_free,theasurus.com,,,sanitation,Dimension,clean,primarily infectious,
germfree,theasurus.com,,,sanitation,Dimension,clean,primarily infectious,
hygiene,theasurus.com,,,sanitation,Dimension,clean,,
hygienic,theasurus.com,,,sanitation,Dimension,clean,,
pristine,theasurus.com,,,sanitation,Dimension,clean,,
pure,theasurus.com,,,sanitation,Dimension,clean,,
purer,theasurus.com,,,sanitation,Dimension,clean,,
purest,theasurus.com,,,sanitation,Dimension,clean,,
purified,theasurus.com,,,sanitation,Dimension,clean,,
purity,theasurus.com,,,sanitation,Dimension,clean,,
sanitary,theasurus.com,,,sanitation,Dimension,clean,,
sparkling_clean,theasurus.com,,,sanitation,Dimension,clean,,
speckless,theasurus.com,,,sanitation,Dimension,clean,,
spotless,theasurus.com,,,sanitation,Dimension,clean,,
sterile,theasurus.com,,,sanitation,Dimension,clean,,
sterilize,theasurus.com,,,sanitation,Dimension,clean,,
sterilized,theasurus.com,,,sanitation,Dimension,clean,,
sterilizing,theasurus.com,,,sanitation,Dimension,clean,,
tidier,theasurus.com,,,sanitation,Dimension,clean,,
tidiest,theasurus.com,,,sanitation,Dimension,clean,,
tidy,theasurus.com,,,sanitation,Dimension,clean,,
uncluttered,theasurus.com,,,sanitation,Dimension,clean,,
uncontaminated,theasurus.com,,,sanitation,Dimension,clean,,
unsoiled,theasurus.com,,,sanitation,Dimension,clean,,
unstained,theasurus.com,,,sanitation,Dimension,clean,,
untarnished,theasurus.com,,,sanitation,Dimension,clean,,
well_kept,theasurus.com,,,sanitation,Dimension,clean,,
afraid,,,,danger_safety,Dimensions,dangerous,,
alarm,,,,danger_safety,Dimensions,dangerous,,
alarmed,,,,danger_safety,Dimensions,dangerous,,
alarming,,,,danger_safety,Dimensions,dangerous,,
alarms,,,,danger_safety,Dimensions,dangerous,,
bloodcurdling,,,,danger_safety,Dimensions,dangerous,,
cowed,,,,danger_safety,Dimensions,dangerous,,
creepy,,,,danger_safety,Dimensions,dangerous,,
crisis,,,,danger_safety,Dimensions,dangerous,,
danger,,,,danger_safety,Dimensions,dangerous,,
dangerous,,,,danger_safety,Dimensions,dangerous,,
dangers,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
disturbing,,,,danger_safety,Dimensions,dangerous,,remove
doom,,,,danger_safety,Dimensions,dangerous,,
doomsday,,,,danger_safety,Dimensions,dangerous,,
eerie,,,,danger_safety,Dimensions,dangerous,,
fear,,,,danger_safety,Dimensions,dangerous,,
fearful,,,,danger_safety,Dimensions,dangerous,,
frightening,,,,danger_safety,Dimensions,dangerous,,
hazard,,,,danger_safety,Dimensions,dangerous,,
hazardous,,,,danger_safety,Dimensions,dangerous,,
horrific,,,,danger_safety,Dimensions,dangerous,,
horrified,,,,danger_safety,Dimensions,dangerous,,
horrify,,,,danger_safety,Dimensions,dangerous,,
horrifying,,,,danger_safety,Dimensions,dangerous,looking at w2v 1980 most similar,remove
in_a_panic,,,,danger_safety,Dimensions,dangerous,,
jumpy,,,,danger_safety,Dimensions,dangerous,,
menace,,,,danger_safety,Dimensions,dangerous,,
menaced,,,,danger_safety,Dimensions,dangerous,,
menacing,,,,danger_safety,Dimensions,dangerous,,
nightmare,,,,danger_safety,Dimensions,dangerous,,
nightmarish,,,,danger_safety,Dimensions,dangerous,,
panic,,,,danger_safety,Dimensions,dangerous,"remove? Maybe, symptom",remove
panicked,,,,danger_safety,Dimensions,dangerous,"remove? Maybe, symptom",remove
panicky,,,,danger_safety,Dimensions,dangerous,"remove? Maybe, symptom",remove
peril,,,,danger_safety,Dimensions,dangerous,,
perilous,,,,danger_safety,Dimensions,dangerous,,
petrified,,,,danger_safety,Dimensions,dangerous,,
precarious,,,,danger_safety,Dimensions,dangerous,,
risk,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
risky,,,,danger_safety,Dimensions,dangerous,,
scare,,,,danger_safety,Dimensions,dangerous,,
scared,,,,danger_safety,Dimensions,dangerous,,
scared_stiff,,,,danger_safety,Dimensions,dangerous,,
scares,,,,danger_safety,Dimensions,dangerous,,
scarier,,,,danger_safety,Dimensions,dangerous,,
scariest,,,,danger_safety,Dimensions,dangerous,,
scaring,,,,danger_safety,Dimensions,dangerous,,
scary,,,,danger_safety,Dimensions,dangerous,,
shaky,,,,danger_safety,Dimensions,dangerous,"remove? Maybe, symptom",remove
shocking,,,,danger_safety,Dimensions,dangerous,,remove
spine_chilling,,,,danger_safety,Dimensions,dangerous,,
spinechilling,,,,danger_safety,Dimensions,dangerous,,
spooked,,,,danger_safety,Dimensions,dangerous,remove?,
spookier,,,,danger_safety,Dimensions,dangerous,remove?,
spookiest,,,,danger_safety,Dimensions,dangerous,remove?,
spooking,,,,danger_safety,Dimensions,dangerous,remove?,
spooks,,,,danger_safety,Dimensions,dangerous,remove?,
spooky,,,,danger_safety,Dimensions,dangerous,remove?,
health_hazard,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
high_risk,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
harrowing,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
terrified,,,,danger_safety,Dimensions,dangerous,,
terrifying,,,,danger_safety,Dimensions,dangerous,,
terrorize,,,,danger_safety,Dimensions,dangerous,,
terrorized,,,,danger_safety,Dimensions,dangerous,,
threat,,,,danger_safety,Dimensions,dangerous,,
threaten,,,,danger_safety,Dimensions,dangerous,,
threatened,,,,danger_safety,Dimensions,dangerous,,
threatening,,,,danger_safety,Dimensions,dangerous,,
threatens,,,,danger_safety,Dimensions,dangerous,,
harmful,"w2v most similar, in 1980",,,danger_safety,Dimensions,dangerous,,
harmed,"w2v most stimilar, in 1981",,,danger_safety,Dimensions,dangerous,,
