,Reconciled_Name,Year,count,mean,std,min,CI4%,CI50%,CI96%,max,PlottingGroup,Dimension
0,ADHD,1980,25,-0.048662883,0.186033838,-0.508902419,-0.472712666,-0.03833602,0.176710759,0.203867145,neurodevelopmental,stigmaindex
25,ADHD,1983,25,-0.156292664,0.214577518,-0.692255601,-0.418922209,-0.206066383,0.104463466,0.314375841,neurodevelopmental,stigmaindex
50,ADHD,1986,24,0.508789035,0.470852126,-0.561727002,-0.373038656,0.519075948,1.175095229,1.341270879,neurodevelopmental,stigmaindex
75,ADHD,1989,20,0.586144615,0.433938414,-0.150572248,-0.082857624,0.69623439,1.206829778,1.365073562,neurodevelopmental,stigmaindex
100,ADHD,1992,25,0.742223765,0.207641435,0.342066145,0.487102125,0.682683557,1.130775969,1.182768881,neurodevelopmental,stigmaindex
125,ADHD,1995,25,0.606659787,0.157338556,0.24426977,0.349748394,0.621744197,0.843849352,0.855015799,neurodevelopmental,stigmaindex
150,ADHD,1998,25,0.408946933,0.11121541,0.239765128,0.250838759,0.425162956,0.58314325,0.617415279,neurodevelopmental,stigmaindex
175,ADHD,2001,25,0.896957969,0.144002364,0.682869947,0.709514108,0.853505097,1.175383015,1.211489975,neurodevelopmental,stigmaindex
200,ADHD,2004,25,0.688617642,0.138705517,0.380897403,0.470451891,0.715911843,0.865785452,0.880272307,neurodevelopmental,stigmaindex
225,ADHD,2007,25,0.796542488,0.167376212,0.376436844,0.577189382,0.798669348,1.02776694,1.310914911,neurodevelopmental,stigmaindex
250,ADHD,2010,25,0.755858903,0.153076787,0.386021823,0.548205603,0.756276544,0.990600839,0.992467656,neurodevelopmental,stigmaindex
275,ADHD,2013,25,0.682822664,0.125775328,0.453303374,0.510085889,0.67119221,0.898227044,0.959927335,neurodevelopmental,stigmaindex
300,ADHD,2016,25,0.817120278,0.151484461,0.558051925,0.609598386,0.843311395,1.141529331,1.153173566,neurodevelopmental,stigmaindex
325,ALS,1980,25,0.327864126,0.292292672,-0.457430772,-0.070577022,0.321599748,0.812006159,0.84343268,neurological,stigmaindex
350,ALS,1983,25,1.226803691,0.225707657,0.753053196,0.926754124,1.19196853,1.587450448,1.768161312,neurological,stigmaindex
375,ALS,1986,25,1.226765651,0.205919326,0.908162937,0.922060484,1.171029404,1.592990652,1.714365989,neurological,stigmaindex
400,ALS,1989,25,0.606151619,0.19828213,0.225131225,0.247342873,0.66291631,0.87680726,0.892142579,neurological,stigmaindex
425,ALS,1992,25,0.618766905,0.189769396,0.281547805,0.298488865,0.617772188,0.873862984,1.009855315,neurological,stigmaindex
