Sentiment,Adjective
neg,abrasive
neg,abrupt
neg,aggressive
neg,agonizing
neg,aimless
neg,aloof
neg,amoral
neg,angry
neg,antisocial
neg,anxious
neg,apathetic
neg,arrogant
neg,asocial
neg,assertive
neg,barbaric
neg,belligerent
neg,bewildered
neg,bitchy
neg,bizarre
neg,bland
neg,boastful
neg,boorish
neg,bossy
neg,brutal
neg,calculating
neg,callous
neg,careless
neg,cautious
neg,charmless
neg,childish
neg,clumsy
neg,coarse
neg,complacent
neg,compulsive
neg,conceited
neg,confused
neg,conventional
neg,cowardly
neg,crafty
neg,crass
neg,crazy
neg,criminal
neg,crude
neg,cruel
neg,cunning
neg,cynical
neg,deceitful
neg,demanding
neg,dependent
neg,desperate
neg,destructive
neg,devious
neg,disconcerting
neg,discouraged
neg,discouraging
neg,dishonest
neg,disloyal
neg,disobedient
neg,disorderly
neg,disorganized
neg,disputatious
neg,disrespectful
neg,disruptive
neg,dissolute
neg,disturbing
neg,dogmatic
neg,domineering
neg,dull
neg,egocentric
neg,enervated
neg,envious
neg,erratic
neg,evil
neg,excitable
neg,extravagant
neg,facetious
neg,faithless
neg,FALSE
neg,fanatical
neg,fanciful
neg,fatalistic
neg,fawning
neg,fearful
neg,fickle
neg,fiery
neg,finicky
neg,flamboyant
neg,flippant
neg,foolish
neg,forgetful
neg,fraudulent
neg,frivolous
neg,fussy
neg,gloomy
neg,graceless
neg,greedy
neg,grim
neg,grumpy
neg,gullible
neg,harsh
neg,hateful
neg,haughty
neg,hesitant
neg,hidebound
neg,hostile
neg,ignorant
neg,immature
neg,impatient
neg,impolite
neg,impractical
neg,imprudent
neg,impulsive
neg,inconsiderate
neg,incurious
neg,indecisive
neg,indifferent
neg,indiscreet
neg,indulgent
neg,inert
neg,inhibited
neg,insecure
neg,insensitive
neg,insincere
neg,insulting
neg,intolerant
neg,irascible
neg,irrational
neg,irresponsible
neg,irritable
neg,jealous
neg,judgmental
neg,killjoy
neg,lazy
neg,libidinous
neg,malicious
neg,materialistic
neg,melancholic
neg,messy
neg,miserable
neg,misguided
neg,mistaken
neg,monstrous
neg,moody
neg,morbid
neg,nagging
neg,naive
neg,narcissistic
neg,narrow_minded
neg,nasty
neg,naughty
neg,neglectful
neg,nervous
neg,neurotic
neg,nosy
neg,obnoxious
neg,obsessive
neg,obstinate
neg,odd
neg,opinionated
neg,opportunistic
neg,outrageous
neg,paranoid
neg,passive
neg,pathetic
neg,patronising
neg,perverse
neg,pessimistic
neg,petty
neg,petulant
neg,picky
neg,plodding
neg,pompous
neg,predatory
neg,prejudiced
neg,presumptuous
neg,pretentious
neg,prim
neg,procrastinating
neg,provocative
neg,pugnacious
neg,puritanical
neg,quick_tempered
neg,quirky
neg,quixotic
neg,raging
neg,reactionary
neg,reactive
neg,repressed
neg,resentful
neg,ridiculous
neg,rigid
neg,rowdy
neg,rude
neg,ruined
neg,ruthless
neg,sadistic
neg,sanctimonious
neg,scheming
neg,scornful
neg,secretive
neg,sedentary
neg,self_indulgent
neg,selfish
neg,shallow
neg,shameless
neg,shortsighted
neg,shy
neg,silly
neg,single_minded
neg,sloppy
neg,slovenly
neg,slow
neg,sluggish
neg,sly
neg,sneaky
neg,sordid
neg,spoiled
neg,steely
neg,stiff
neg,stingy
neg,strong_willed
neg,stubborn
neg,stupid
neg,superficial
neg,superstitious
neg,surly
neg,suspicious
neg,tactless
neg,tasteless
neg,temperamental
neg,tense
neg,thoughtless
neg,timid
neg,touchy
neg,transparent
neg,treacherous
neg,troublesome
neg,truculent
neg,uncaring
neg,uncharitable
neg,unconvincing
neg,uncooperative
neg,undependable
neg,undisciplined
neg,unfriendly
neg,unhealthy
neg,unimaginative
neg,uninterested
neg,unkind
neg,unpleasant
neg,unrealistic
neg,unreliable
neg,unrestrained
neg,unruly
neg,unstable
neg,untrustworthy
neg,vague
neg,vain
neg,vengeful
neg,vindictive
neg,vulnerable
neg,weak
neg,weak_willed
neg,willful
neg,withdrawn
neg,zany
pos,active
pos,adaptable
pos,admirable
pos,adventurous
pos,affable
pos,affectionate
pos,agreeable
pos,alert
pos,ambitious
pos,amiable
pos,amicable
pos,amusing
pos,appreciative
pos,articulate
pos,aspiring
pos,athletic
pos,attractive
pos,balanced
pos,benevolent
pos,bold
pos,brave
pos,brilliant
pos,broad_minded
pos,busy
pos,calm
pos,capable
pos,captivating
pos,careful
pos,caring
pos,charismatic
pos,charming
pos,cheerful
pos,clean
pos,clear_headed
pos,clever
pos,colorful
pos,companionable
pos,compassionate
pos,conciliatory
pos,confident
pos,conscientious
pos,considerate
pos,constant
pos,contemplative
pos,cooperative
pos,courageous
pos,courteous
pos,creative
pos,cultured
pos,curious
pos,daring
pos,decent
pos,decisive
pos,dedicated
pos,dependable
pos,determined
pos,dignified
pos,diligent
pos,diplomatic
pos,disciplined
pos,discreet
pos,dutiful
pos,dynamic
pos,earnest
pos,easy_going
pos,ebullient
pos,educated
pos,efficient
pos,elegant
pos,eloquent
pos,empathetic
pos,encouraging
pos,energetic
pos,enthusiastic
pos,exciting
pos,extraordinary
pos,exuberant
pos,fair
pos,faithful
pos,fearless
pos,firm
pos,flexible
pos,forgiving
pos,forthright
pos,frank
pos,friendly
pos,funny
pos,gallant
pos,generous
pos,gentle
pos,genuine
pos,glamorous
pos,good_natured
pos,good_humored
pos,good_tempered
pos,gracious
pos,grateful
pos,gregarious
pos,happy
pos,hard_working
pos,healthy
pos,hearty
pos,helpful
pos,heroic
pos,high_minded
pos,honest
pos,honorable
pos,humble
pos,humorous
pos,idealistic
pos,imaginative
pos,impartial
pos,impressive
pos,incisive
pos,independent
pos,individualistic
pos,innovative
pos,insightful
pos,intelligent
pos,intuitive
pos,inventive
pos,invulnerable
pos,keen
pos,kind
pos,kind_hearted
pos,leisurely
pos,level_headed
pos,likable
pos,logical
pos,lovable
pos,loyal
pos,lyrical
pos,magnanimous
pos,mature
pos,methodical
pos,meticulous
pos,modest
pos,neat
pos,obedient
pos,objective
pos,observant
pos,open_minded
pos,optimistic
pos,orderly
pos,organized
pos,original
pos,painstaking
pos,passionate
pos,patriotic
pos,peaceful
pos,perceptive
pos,perfectionist
pos,persistent
pos,personable
pos,persuasive
pos,pioneering
pos,placid
pos,playful
pos,pleasant
pos,plucky
pos,polished
pos,polite
pos,popular
pos,powerful
pos,practical
pos,precise
pos,principled
pos,profound
pos,protective
pos,prudent
pos,punctual
